Latitude,Longitude,Stop Name,Stop Status
40.689472,-73.922259,GATES AV/BROADWAY,at stop
40.690488,-73.984922,FULTON ST/DUFFIELD ST,at stop
40.687561,-73.938611,GATES AV/MARCUS GARVEY BL,at stop
40.691573,-73.987693,FULTON ST/SMITH ST,at stop
40.693373,-73.990568,CADMAN PLZ W/MONTAGUE ST,at stop
40.685967,-73.972023,GREENE AV/CUMBERLAND ST,approaching
40.686773,-73.965011,GREENE AV/WASHINGTON AV,approaching
40.694535,-73.917133,GATES AV/CENTRAL AV,approaching
40.689404,-73.922853,GATES AV/RALPH AV,approaching
40.692338,-73.989018,FULTON ST/SMITH ST,< 1 stop away
40.700646,-73.910024,GATES AV/WYCKOFF AV,< 1 stop away
40.70062,-73.909982,GATES AV/WYCKOFF AV,< 1 stop away
